customer_id,customer_name,city,area,signup_date,gender
176,Customer 176,Lucknow,Gomti Nagar,2025-04-21,Male
177,Customer 177,Pune,Baner,2025-03-08,Male
178,Customer 178,Delhi,Dwarka,2025-01-14,Female
179,Customer 179,Chandigarh,Manimajra,2025-01-08,Female
180,Customer 180,Pune,Hinjewadi,2025-02-22,Male
181,Customer 181,Pune,Viman Nagar,2025-07-04,Other
182,Customer 182,Mumbai,Bandra,2025-05-27,Male
183,Customer 183,Delhi,Rohini,2025-03-26,Female
184,Customer 184,Pune,Hinjewadi,2025-02-15,Other
185,Customer 185,Pune,Hinjewadi,2025-05-17,Other
186,Customer 186,Chandigarh,Zirakpur,2025-02-20,Male
187,Customer 187,Jaipur,C-Scheme,2025-10-09,Male
188,Customer 188,Delhi,Dwarka,2025-11-27,Other
189,Customer 189,Lucknow,Aliganj,2025-10-02,Male
190,Customer 190,Chandigarh,Zirakpur,2025-05-06,Other
191,Customer 191,Jaipur,Mansarovar,2025-02-16,Female
192,Customer 192,Jaipur,C-Scheme,2025-06-22,Male
193,Customer 193,Bengaluru,Koramangala,2025-07-23,Female
194,Customer 194,Pune,Hinjewadi,2025-09-02,Female
195,Customer 195,Delhi,Saket,2025-05-11,Male
196,Customer 196,Jaipur,Malviya Nagar,2025-11-28,Other
197,Customer 197,Chandigarh,Zirakpur,2025-01-07,Other
198,Customer 198,Hyderabad,Kukatpally,2025-11-15,Male
199,Customer 199,Mumbai,Powai,2025-09-05,Female
200,Customer 200,Chandigarh,Zirakpur,2025-02-01,Other
201,Customer 201,Mumbai,Bandra,2025-05-18,Male
202,Customer 202,Jaipur,Malviya Nagar,2025-04-27,Male
203,Customer 203,Chandigarh,Sector 17,2025-11-27,Male
204,Customer 204,Chandigarh,Manimajra,2025-09-23,Female
205,Customer 205,Jaipur,Mansarovar,2025-08-08,Female
206,Customer 206,Bengaluru,HSR Layout,2025-04-20,Other
207,Customer 207,Bengaluru,Whitefield,2025-05-25,Female
208,Customer 208,Hyderabad,Gachibowli,2025-01-10,Other
209,Customer 209,Pune,Hinjewadi,2025-03-15,Other
210,Customer 210,Chandigarh,Manimajra,2025-06-18,Other
211,Customer 211,Jaipur,Mansarovar,2025-06-28,Male
212,Customer 212,Mumbai,Dadar,2025-04-28,Female
213,Customer 213,Lucknow,Aliganj,2025-12-16,Other
214,Customer 214,Jaipur,Mansarovar,2025-11-26,Other
215,Customer 215,Bengaluru,HSR Layout,2025-01-05,Other
216,Customer 216,Hyderabad,Madhapur,2025-08-04,Other
217,Customer 217,Chandigarh,Sector 17,2025-12-05,Female
218,Customer 218,Bengaluru,Whitefield,2025-08-26,Female
219,Customer 219,Hyderabad,Kukatpally,2025-11-03,Female
220,Customer 220,Jaipur,C-Scheme,2025-11-23,Female
221,Customer 221,Lucknow,Gomti Nagar,2025-04-21,Other
222,Customer 222,Pune,Viman Nagar,2025-12-03,Female
223,Customer 223,Delhi,Rohini,2025-08-06,Other
224,Customer 224,Pune,Baner,2025-01-11,Male
225,Customer 225,Pune,Kothrud,2025-06-14,Male
226,Customer 226,Mumbai,Dadar,2025-10-22,Male
227,Customer 227,Bengaluru,Indiranagar,2025-02-20,Female
228,Customer 228,Mumbai,Dadar,2025-10-05,Male
229,Customer 229,Chandigarh,Manimajra,2025-08-09,Other
230,Customer 230,Lucknow,Indira Nagar,2025-05-22,Other
231,Customer 231,Bengaluru,Whitefield,2025-08-12,Other
232,Customer 232,Pune,Hinjewadi,2025-12-09,Female
233,Customer 233,Pune,Viman Nagar,2025-07-28,Female
234,Customer 234,Delhi,Dwarka,2025-07-19,Female
235,Customer 235,Pune,Kothrud,2025-01-27,Other
236,Customer 236,Jaipur,C-Scheme,2025-01-19,Other
237,Customer 237,Lucknow,Indira Nagar,2025-05-25,Male
238,Customer 238,Hyderabad,Banjara Hills,2025-11-07,Other
239,Customer 239,Pune,Viman Nagar,2025-11-04,Other
240,Customer 240,Lucknow,Aliganj,2025-08-02,Other
241,Customer 241,Hyderabad,Banjara Hills,2025-02-10,Female
242,Customer 242,Jaipur,Vaishali Nagar,2025-04-05,Other
243,Customer 243,Hyderabad,Gachibowli,2025-03-09,Female
244,Customer 244,Pune,Kothrud,2025-02-15,Male
245,Customer 245,Bengaluru,Indiranagar,2025-11-24,Other
246,Customer 246,Jaipur,C-Scheme,2025-02-26,Female
247,Customer 247,Lucknow,Aliganj,2025-09-04,Female
248,Customer 248,Hyderabad,Gachibowli,2025-10-13,Other
249,Customer 249,Hyderabad,Madhapur,2025-11-08,Female
250,Customer 250,Lucknow,Aliganj,2025-10-08,Other
251,Customer 251,Delhi,Lajpat Nagar,2025-12-10,Other
252,Customer 252,Jaipur,Malviya Nagar,2025-03-02,Male
253,Customer 253,Pune,Hinjewadi,2025-02-04,Male
254,Customer 254,Bengaluru,HSR Layout,2025-08-12,Other
255,Customer 255,Jaipur,Vaishali Nagar,2025-07-21,Male
256,Customer 256,Chandigarh,Zirakpur,2025-05-02,Other
257,Customer 257,Hyderabad,Banjara Hills,2025-08-15,Male
258,Customer 258,Hyderabad,Madhapur,2025-11-12,Other
259,Customer 259,Hyderabad,Madhapur,2025-07-09,Male
260,Customer 260,Delhi,Lajpat Nagar,2025-02-22,Male
261,Customer 261,Lucknow,Gomti Nagar,2025-06-08,Male
262,Customer 262,Mumbai,Andheri,2025-09-07,Other
263,Customer 263,Mumbai,Bandra,2025-06-25,Male
264,Customer 264,Lucknow,Aliganj,2025-03-05,Other
265,Customer 265,Pune,Viman Nagar,2025-02-22,Male
266,Customer 266,Bengaluru,Whitefield,2025-06-26,Male
267,Customer 267,Hyderabad,Madhapur,2025-03-09,Male
268,Customer 268,Bengaluru,HSR Layout,2025-09-04,Other
269,Customer 269,Delhi,Lajpat Nagar,2025-08-25,Female
270,Customer 270,Delhi,Lajpat Nagar,2025-09-08,Other
271,Customer 271,Lucknow,Aliganj,2025-08-21,Male
272,Customer 272,Lucknow,Indira Nagar,2025-07-14,Other
273,Customer 273,Delhi,Lajpat Nagar,2025-12-15,Male
274,Customer 274,Delhi,Saket,2025-10-05,Male
275,Customer 275,Bengaluru,Koramangala,2025-10-21,Other
276,Customer 276,Hyderabad,Kukatpally,2025-10-17,Female
277,Customer 277,Chandigarh,Zirakpur,2025-02-26,Other
278,Customer 278,Delhi,Dwarka,2025-07-15,Male
279,Customer 279,Jaipur,C-Scheme,2025-08-13,Female
280,Customer 280,Delhi,Saket,2025-07-11,Other
281,Customer 281,Pune,Kothrud,2025-03-22,Female
282,Customer 282,Delhi,Rohini,2025-02-03,Female
283,Customer 283,Delhi,Saket,2025-03-18,Male
284,Customer 284,Hyderabad,Madhapur,2025-07-12,Other
285,Customer 285,Jaipur,Malviya Nagar,2025-05-20,Female
286,Customer 286,Hyderabad,Madhapur,2025-10-17,Male
287,Customer 287,Bengaluru,HSR Layout,2025-04-28,Male
288,Customer 288,Hyderabad,Gachibowli,2025-02-25,Female
289,Customer 289,Mumbai,Dadar,2025-09-25,Other
290,Customer 290,Lucknow,Aliganj,2025-01-06,Female
291,Customer 291,Pune,Kothrud,2025-06-01,Male
292,Customer 292,Bengaluru,HSR Layout,2025-02-05,Other
293,Customer 293,Lucknow,Gomti Nagar,2025-12-17,Male
294,Customer 294,Jaipur,Mansarovar,2025-08-11,Male
295,Customer 295,Hyderabad,Gachibowli,2025-12-11,Other
296,Customer 296,Delhi,Rohini,2025-03-06,Other
297,Customer 297,Lucknow,Gomti Nagar,2025-05-15,Other
298,Customer 298,Jaipur,Mansarovar,2025-10-15,Female
299,Customer 299,Pune,Viman Nagar,2025-09-04,Female
300,Customer 300,Jaipur,Malviya Nagar,2025-05-22,Other
